"cuisine","cuisine","origin","country","continent"
"steps","steps","step","amount of steps","number of steps"
"ingredientnumber","amount of ingredients","number of ingredients","number","ingredient amount"
"ingredient","ingredient","ingredients"
"ingredienttype","ingredient type","type of ingredient","types of ingredients","ingredients type","ingredient types","type of ingredients","ingredienttype"
"easykeyword","easyness","easy","difficulty","easykeyword"
"mealtype","meal type","type of meal","mealtype"
"dietaryrestriction","dietary restriction","diet","dietary","dietaryrestriction","vegan","vegetarian","lactose-free"
"servings","number-integer","servings","number of servings"
"tag","tag"
"shorttimekeyword","shorttimekeyword","fast","quick"
"duration","duration","preperation time","time","cooking time"
