"curry","curry"
"carbonara","carbonara"
"ratatouille","ratatouille"
"cheeseburger","cheeseburger","cheeseburgers"
"stew","stew"
"wrap","wrap","wraps"
"bowl","bowl","bowls"
"sandwich","sandwich","sandwiches"
"taco","taco","tacos","taco's"
"traybake","traybake","traybakes"
"pizza","pizza","pizzas","pizza's"
"bread","bread"
"dumplings","dumplings","dumpling"
"burger","burger","burgers"
"soup","soup"
"ramen","ramen"
"frittata","frittata"
"kebab","kebab","kebabs"
"pie","pie","pies"
"fries","fries"
"lasagne","lasagne"
"pancakes","pancakes","pancake"
"noodles","noodles","noodle"
"salad","salad","salads"
"tart","tart","tarts"
"quesadillas","quesadillas","quasadilla"
